city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
dniprodzerzhynsk+ukraine,241432.0,,,,,,,,
orsk+russian federation,241327.0,,,,,,,,
rangpur+bangladesh,241310.0,,,,,,,,
hamilton+new zealand,241200.0,,,,,,,,
alappuzha+india,240991.0,,,,,,,,
tanchon+north korea,240873.0,,,,,,,,
katihar+india,240838.0,,,,,,,,
barueri+brazil,240749.0,,,,,,,,
embu+brazil,240230.0,,,,,,,,
juàzeiro do norte+brazil,240128.0,,,,,,,,
shakhty+russian federation,239987.0,,,,,,,,
linz+austria,239974.0,110100,48.233,14.188,"LINZ, AUSTRIA",37.1,25.9,linz,austria
jian+china,239849.0,,,,,,,,
tiefa+china,239636.0,,,,,,,,
tegal+indonesia,239599.0,,,,,,,,
golestan+iran,239556.0,,,,,,,,
chigasaki+japan,239348.0,,,,,,,,
bafoussam+cameroon,239287.0,,,,,,,,
saraburi+thailand,239281.0,,,,,,,,
halle+germany,239173.0,,,,,,,,
akure+nigeria,239124.0,,,,,,,,
kosice+slovakia,238927.0,119680,48.667,21.217,"KOSICE, SLOVAKIA",36.4,25.3,kosice,slovakia
ruiru+kenya,238858.0,,,,,,,,
north las vegas+u.s.,238702.0,724846,36.212,-115.196,"NORTH LAS VEGAS AP, NV, USA",46.6,27.5,north las vegas,u.s.
turmero+venezuela,238570.0,,,,,,,,
magdeburg+germany,238478.0,,,,,,,,
sumaré+brazil,238470.0,,,,,,,,
irving+u.s.,238289.0,,,,,,,,
balashikha+russian federation,238284.0,,,,,,,,
san salvador+el salvador,238244.0,,,,,,,,
ath-thuqbah+saudi arabia,238066.0,,,,,,,,
chesapeake+u.s.,237940.0,724006,36.666,-76.321,"CHESAPEAKE REGIONAL, VA, USA",39.7,31.3,chesapeake,u.s.
thoothukkudi+india,237830.0,,,,,,,,
ganganagar+india,237780.0,,,,,,,,
tembisa+south africa,237676.0,,,,,,,,
le havre+france,237578.0,,,,,,,,
amol+iran,237528.0,,,,,,,,
neyagawa+japan,237518.0,,,,,,,,
györ+hungary,237341.0,,,,,,,,
mossoró+brazil,237241.0,,,,,,,,
gilbert+u.s.,237133.0,,,,,,,,
ipatinga+brazil,236968.0,,,,,,,,
sao josé dos pinhais+brazil,236895.0,,,,,,,,
shimizu+japan,236818.0,478980,32.723,133.010,"SHIMIZU, JAPAN",34.6,29.2,shimizu,japan
sincelejo+colombia,236780.0,,,,,,,,
derby+united kingdom,236738.0,,,,,,,,
dordrecht+netherlands,236734.0,,,,,,,,
bukit mertajam+malaysia,236651.0,,,,,,,,
phyongsong+north korea,236583.0,,,,,,,,
comodoro rivadavia-rada tilly+argentina,236436.5093,,,,,,,,
hialeah+u.s.,236387.0,,,,,,,,
saga+japan,236372.0,478130,33.267,130.300,"SAGA, JAPAN",38.5,28.9,saga,japan
rancagua+chile,236363.0,,,,,,,,
pakdasht+iran,236319.0,,,,,,,,
luton/dunstable+united kingdom,236318.0,,,,,,,,
béchar+algeria,236213.0,,,,,,,,
abha+saudi arabia,236157.0,411120,18.240,42.657,"ABHA, SAUDI ARABIA",34.8,24.1,abha,saudi arabia
menia+egypt,236043.0,,,,,,,,
garoua+cameroon,235996.0,,,,,,,,
san luis - el chorrillo+argentina,235975.021,,,,,,,,
lop buri+thailand,235827.0,484260,14.800,100.617,"LOP BURI, THAILAND",40.5,30.3,lop buri,thailand
lishi+china,235678.0,537640,37.500,111.100,"LISHI, CHINA",38.4,28.2,lishi,china
rewa+india,235654.0,,,,,,,,
itagüí+colombia,235567.0,,,,,,,,
karradah sharqiyah+iraq,235554.0,,,,,,,,
uluberia+india,235345.0,,,,,,,,
najafabad+iran,235281.0,,,,,,,,
nizhnekamsk+russian federation,235279.0,,,,,,,,
borujerd+iran,234997.0,,,,,,,,
malolos+philippines,234945.0,,,,,,,,
garland+u.s.,234943.0,,,,,,,,
mirzapur-cum-vindhyachal+india,234871.0,,,,,,,,
nôvo hamburgo+brazil,234798.0,,,,,,,,
pematang siantar+indonesia,234698.0,,,,,,,,
al-seeh+saudi arabia,234607.0,,,,,,,,
imperatriz+brazil,234547.0,,,,,,,,
raichur+india,234073.0,,,,,,,,
pontianak+indonesia,234021.0,,,,,,,,
pallavaram+india,233984.0,,,,,,,,
angarsk+russian federation,233567.0,,,,,,,,
rahimyar khan+pakistan,233537.0,,,,,,,,
windhoek+namibia,233529.0,,,,,,,,
kirovograd+ukraine,233509.0,,,,,,,,
messina+italy,233424.0,164200,38.200,15.550,"MESSINA, ITALY",42.2,32.6,messina,italy
yanbu al-bahr+saudi arabia,233236.0,,,,,,,,
kikuyu+kenya,233231.0,,,,,,,,
fremont+u.s.,233136.0,725564,41.449,-96.520,"FREMONT MUNICIPAL, NE, USA",39.8,28.9,fremont,u.s.
olongapo+philippines,233040.0,,,,,,,,
yamato+japan,232922.0,,,,,,,,
nong khai+thailand,232798.0,483520,17.867,102.750,"NONG KHAI, THAILAND",42.0,30.0,nong khai,thailand
kasukabe+japan,232709.0,,,,,,,,
greater hobart+australia,232606.0,,,,,,,,
bihar+india,232071.0,,,,,,,,
bt9 cheras/sg raya/tmn suntex+malaysia,232060.0,,,,,,,,
camacari+brazil,231973.0,,,,,,,,
kasama+zambia,231824.0,,,,,,,,
guaymas+mexico,231666.0,,,,,,,,
the medway towns+united kingdom,231659.0,,,,,,,,
elche/elx+spain,231571.0,,,,,,,,
abadan+iran,231476.0,408310,30.371,48.228,"ABADAN, IRAN, ISLAMIC REPUBLIC OF",51.8,32.8,abadan,iran
hardwar+india,231338.0,,,,,,,,
hachinohe+japan,231257.0,475150,40.556,141.466,"HACHINOHE, JAPAN",36.7,28.0,hachinohe,japan
luzern+switzerland,231246.0,066500,47.033,8.300,"LUZERN, SWITZERLAND",35.1,24.0,luzern,switzerland
quthbullapur+india,231108.0,,,,,,,,
qarchak+iran,231075.0,,,,,,,,
margilan+uzbekistan,231051.0,,,,,,,,
simao+china,230834.0,569640,22.767,100.983,"SIMAO, CHINA",34.5,25.5,simao,china
juba+republic of south sudan,230195.0,,,,,,,,
el tarf+algeria,230157.0,,,,,,,,
pali+india,230075.0,,,,,,,,
tampere+finland,230064.0,,,,,,,,
bulandshahar+india,230024.0,,,,,,,,
brighton and hove+united kingdom,229700.0,,,,,,,,
freiburg im breisgau+germany,229636.0,,,,,,,,
tarragona+spain,229074.0,,,,,,,,
chofu+japan,229061.0,,,,,,,,
tilburg+netherlands,229047.0,,,,,,,,
north shore+new zealand,229000.0,,,,,,,,
bojnurd+iran,228931.0,,,,,,,,
vizianagaram+india,228720.0,,,,,,,,
kure+japan,228552.0,477660,34.233,132.550,"KURE, JAPAN",35.3,27.4,kure,japan
suphan buri+thailand,228496.0,484250,14.467,100.133,"SUPHAN BURI, THAILAND",41.3,30.3,suphan buri,thailand
gangneung+south korea,228232.0,471050,37.771,128.868,"GANGNEUNG, KOREA, REPUBLIC OF",37.9,28.5,gangneung,south korea
gyeongsan+south korea,228206.0,,,,,,,,
heyuan+china,227773.0,592930,23.800,114.733,"HEYUAN, CHINA",38.9,30.7,heyuan,china
playa del carmen+mexico,227407.1305,,,,,,,,
tsukuba+japan,226963.0,,,,,,,,
aberdeenshire+united kingdom,226871.0,,,,,,,,
krefeld+germany,226699.0,,,,,,,,
sikasso+mali,226618.0,,,,,,,,
lincoln+u.s.,226582.0,725510,40.851,-96.748,"LINCOLN MUNICIPAL, NE, USA",42.5,28.8,lincoln,u.s.
angers+france,225978.0,,,,,,,,
miri townland+malaysia,225913.0,,,,,,,,
nakhon sawan+thailand,225903.0,484000,15.673,100.137,"NAKHON SAWAN, THAILAND",42.1,30.1,nakhon sawan,thailand
atsugi+japan,225714.0,,,,,,,,
varamin+iran,225628.0,,,,,,,,
reykjavik+iceland,225357.5,040300,64.130,-21.941,"REYKJAVIK, ICELAND",24.2,17.6,reykjavik,iceland
ageo+japan,225196.0,,,,,,,,
houma+china,225123.0,,,,,,,,
nadiad+india,225071.0,,,,,,,,
viamao+brazil,224943.0,,,,,,,,
takarazuka+japan,224903.0,,,,,,,,
bole+china,224869.0,,,,,,,,
nagercoil+india,224849.0,,,,,,,,
vitoria-gasteiz+spain,224652.0,,,,,,,,
ploiesti+romania,224406.0,153770,44.950,26.000,"PLOIESTI, ROMANIA",39.5,27.9,ploiesti,romania
karawal nagar+india,224281.0,,,,,,,,
eugene+u.s.,224049.0,726930,44.128,-123.221,"EUGENE AP, OR, USA",40.8,24.6,eugene,u.s.
mango+india,223805.0,,,,,,,,
ashdod+israel,223755.0,,,,,,,,
bushehr+iran,223504.0,,,,,,,,
iquique+chile,223463.0,,,,,,,,
as seeb+oman,223449.0,,,,,,,,
banda aceh+indonesia,223446.0,,,,,,,,
tamale+ghana,223252.0,,,,,,,,
paradise+u.s.,223167.0,,,,,,,,
lasa+china,223001.0,,,,,,,,
catamarca+argentina,222984.0298,872220,-28.596,-65.752,"CATAMARCA INTL, ARGENTINA",43.7,28.5,catamarca,argentina
thanjavur+india,222943.0,,,,,,,,
dili+timor-leste,222323.0,,,,,,,,
la rioja+argentina,222155.0927,872170,-29.382,-66.796,"LA RIOJA AP, ARGENTINA",44.4,30.5,la rioja,argentina
blagoveshchensk+russian federation,222065.0,315100,50.283,127.483,"BLAGOVESHCHENSK, RUSSIAN FEDERATION",37.5,28.2,blagoveshchensk,russian federation
kustanai+kazakhstan,221943.0,,,,,,,,
murwara+india,221883.0,,,,,,,,
palmas+brazil,221742.0,,,,,,,,
malé+maldives,221677.5997,,,,,,,,
czestochowa+poland,221508.0,125500,50.817,19.100,"CZESTOCHOWA, POLAND",36.4,24.1,czestochowa,poland
mzuzu city+malawi,221272.0,,,,,,,,
vantaa+finland,221184.0,,,,,,,,
cádiz+spain,221130.0,,,,,,,,
phayao+thailand,221062.0,483100,19.133,99.900,"PHAYAO, THAILAND",40.4,29.2,phayao,thailand
sherbrooke+canada,221043.0,716100,45.440,-71.690,"SHERBROOKE, QC, CANADA",33.5,26.6,sherbrooke,canada
palangkaraya+indonesia,220962.0,,,,,,,,
sambhal+india,220813.0,,,,,,,,
lalitpur+nepal,220802.0,,,,,,,,
saveh+iran,220762.0,,,,,,,,
krementchug+ukraine,220271.0,,,,,,,,
singrauli+india,220257.0,,,,,,,,
ota+japan,219807.0,,,,,,,,
al-khubar+saudi arabia,219679.0,,,,,,,,
wadhwan+india,219585.0,,,,,,,,
terrassa+spain,219545.0,,,,,,,,
santa clara+cuba,219457.0,,,,,,,,
petrolina+brazil,219172.0,,,,,,,,
guantánamo+cuba,219095.0,,,,,,,,
badalona+spain,219090.0,,,,,,,,
velikiy novgorod+russian federation,218717.0,,,,,,,,
reading+united kingdom,218705.0,,,,,,,,
kangundo+kenya,218557.0,,,,,,,,
san miguel+el salvador,218410.0,,,,,,,,
manta+ecuador,218406.0,,,,,,,,
santa maria+philippines,218351.0,,,,,,,,
eluru+india,218020.0,,,,,,,,
riobamba+ecuador,218019.0,,,,,,,,
chungju+south korea,217927.0,,,,,,,,
secunderabad+india,217910.0,,,,,,,,
naihati+india,217900.0,,,,,,,,
san fernando de apure+venezuela,217590.0,,,,,,,,
bobruisk+belarus,217546.0,,,,,,,,
kelowna+canada,217229.0,712030,49.960,-119.380,"KELOWNA, BC, CANADA",39.2,24.3,kelowna,canada
ternopil+ukraine,217171.0,334150,49.533,25.667,"TERNOPIL, UKRAINE",34.6,23.9,ternopil,ukraine
yamunanagar+india,217071.0,,,,,,,,
probolinggo+indonesia,217062.0,,,,,,,,
coyah+guinea,216928.0,,,,,,,,
san cristóbal+dominican republic,216875.0,,,,,,,,
chingola+zambia,216626.0,,,,,,,,
ciudad ojeda+venezuela,216489.0,,,,,,,,
ayacucho+peru,216444.0,,,,,,,,
raurkela industrial township+india,216410.0,,,,,,,,
los teques+venezuela,216358.0,,,,,,,,
lübeck+germany,216318.0,,,,,,,,
san bernardino+u.s.,216239.0,722866,34.095,-117.235,"SAN BERNARDINO INTL, CA, USA",45.3,26.8,san bernardino,u.s.
bidar+india,216020.0,,,,,,,,
santarém+brazil,215790.0,,,,,,,,
biisk+russian federation,215780.0,,,,,,,,
netanya+israel,215672.0,,,,,,,,
mabalacat+philippines,215610.0,,,,,,,,
bidhan nagar+india,215514.0,,,,,,,,
itaboraí+brazil,215327.0,,,,,,,,
helong+china,215266.0,,,,,,,,
magé+brazil,215236.0,,,,,,,,
mainz+germany,215110.0,,,,,,,,
porto+portugal,214935.5,,,,,,,,
cartagena+spain,214372.0,,,,,,,,
santander+spain,214160.0,080230,43.483,-3.800,"SANTANDER, SPAIN",35.1,24.9,santander,spain
lucheng+china,213944.0,,,,,,,,
barrie+canada,213660.0,,,,,,,,
hobart+australia,213502.0,949750,-42.836,147.510,"HOBART INTL, AUSTRALIA",40.4,22.5,hobart,australia
silang+philippines,213490.0,,,,,,,,
luts'k+ukraine,213422.0,,,,,,,,
munger+india,213303.0,,,,,,,,
ålborg+denmark,213271.0,,,,,,,,
huntsville+u.s.,213253.0,722447,30.744,-95.586,"HUNTSVILLE MUNICIPAL, TX, USA",42.3,27.5,huntsville,u.s.
sao leopoldo+brazil,213238.0,,,,,,,,
sao carlo+brazil,213061.0,,,,,,,,
erfurt+germany,212988.0,,,,,,,,
pyatigorsk+russian federation,212968.0,,,,,,,,
reims+france,212949.0,,,,,,,,
jerez de la frontera+spain,212814.0,,,,,,,,
sabadell+spain,212689.0,,,,,,,,
oakville+canada,212551.0,,,,,,,,
st. john's+canada,212433.0,,,,,,,,
richmond+canada,212276.0,,,,,,,,
wuyishan+china,212156.0,587300,27.767,118.033,"WUYISHAN, CHINA",38.9,28.1,wuyishan,china
aberdeen+united kingdom,212125.0,,,,,,,,
evansville+u.s.,211989.0,724320,38.044,-87.521,"EVANSVILLE REGIONAL, IN, USA",39.5,28.7,evansville,u.s.
san francisco del rincón+mexico,211916.0,,,,,,,,
radom+poland,211909.0,,,,,,,,
engels+russian federation,211825.0,,,,,,,,
kamphaeng phet+thailand,211774.0,483800,16.483,99.533,"KAMPHAENG PHET, THAILAND",41.9,30.7,kamphaeng phet,thailand
nandyal+india,211424.0,,,,,,,,
oberhausen+germany,211422.0,,,,,,,,
panchkula+india,211355.0,,,,,,,,
tacoma+u.s.,211277.0,,,,,,,,
luton+united kingdom,211228.0,,,,,,,,
hunchun+china,211091.0,,,,,,,,
thousand oaks+u.s.,210990.0,,,,,,,,
burhanpur+india,210886.0,,,,,,,,
nassau+bahamas,210832.0,780730,25.039,-77.466,"NASSAU INTL, BAHAMAS",36.4,31.0,nassau,bahamas
padova+italy,210676.0,,,,,,,,
tokchon+north korea,210571.0,,,,,,,,
dehiwala-mount lavinia+sri lanka,210546.0,,,,,,,,
castellón de la plana/castelló de la plana+spain,210455.0,,,,,,,,
morvi+india,210451.0,,,,,,,,
piedras negras+mexico,210356.0,,,,,,,,
wolverhampton+united kingdom,210319.0,,,,,,,,
prokopyevsk+russian federation,210130.0,,,,,,,,
le mans+france,210018.0,,,,,,,,
armavir+russian federation,209742.0,370310,44.983,41.117,"ARMAVIR, RUSSIAN FEDERATION",40.6,27.1,armavir,russian federation
fontana+u.s.,209665.0,,,,,,,,
americana+brazil,209654.0,,,,,,,,
anand+india,209410.0,,,,,,,,
sete lagoas+brazil,208956.0,,,,,,,,
highland+united kingdom,208914.0,,,,,,,,
savannah+u.s.,208886.0,,,,,,,,
isesaki+japan,208814.0,,,,,,,,
amara+iraq,208797.0,,,,,,,,
sahiwal+pakistan,208778.0,,,,,,,,
groningen+netherlands,208506.0,,,,,,,,
delicias+mexico,208487.0,,,,,,,,
rostock+germany,208409.0,101720,53.918,12.278,"ROSTOCK, GERMANY",35.8,24.3,rostock,germany
petropavlovsk+kazakhstan,208362.0,,,,,,,,
ongole+india,208344.0,,,,,,,,
jacareí+brazil,208297.0,,,,,,,,
be'er sheva+israel,208277.0,,,,,,,,
móstoles+spain,208139.0,,,,,,,,
waitakere+new zealand,208100.0,,,,,,,,
bayamón+puerto rico,208092.0,,,,,,,,
salzburg+austria,208073.0,111500,47.793,13.004,"SALZBURG, AUSTRIA",36.5,24.5,salzburg,austria
dearne valley+united kingdom,207726.0,,,,,,,,
maracanau+brazil,207635.0,,,,,,,,
kharagpur+india,207604.0,,,,,,,,
divinópolis+brazil,207516.0,,,,,,,,
khimki+russian federation,207425.0,,,,,,,,
dindigul+india,207327.0,,,,,,,,
sao josé+brazil,207312.0,,,,,,,,
salem+u.s.,207229.0,726940,44.905,-123.001,"SALEM MUNICIPAL, OR, USA",41.1,24.9,salem,u.s.
marília+brazil,207021.0,,,,,,,,
estación central+chile,206792.0,,,,,,,,
damietta+egypt,206664.0,,,,,,,,
fort collins+u.s.,206633.0,,,,,,,,
braila+romania,206599.0,,,,,,,,
los alcarrizos+dominican republic,206557.0,,,,,,,,
bauchi+nigeria,206537.0,,,,,,,,
chachoengsao+thailand,206250.0,,,,,,,,
matsue+japan,206230.0,477410,35.450,133.067,"MATSUE, JAPAN",37.5,28.5,matsue,japan
hospet+india,206167.0,,,,,,,,
kimberley+south africa,206070.0,684380,-28.803,24.765,"KIMBERLEY, SOUTH AFRICA",39.7,25.0,kimberley,south africa
gujiao+china,205702.0,,,,,,,,
nangloi jat+india,205596.0,,,,,,,,
english bazar+india,205521.0,,,,,,,,
moreno valley+u.s.,205499.0,,,,,,,,
chai nat+thailand,205456.0,,,,,,,,
huelva+spain,205400.0,,,,,,,,
san mateo+philippines,205255.0,,,,,,,,
bila tserkva+ukraine,205247.0,,,,,,,,
chaiyaphum+thailand,205112.0,484030,15.800,102.033,"CHAIYAPHUM, THAILAND",41.3,30.0,chaiyaphum,thailand
selayang baru+malaysia,205073.0,,,,,,,,
almería+spain,204991.0,,,,,,,,
qaem shahr+iran,204953.0,,,,,,,,
jinchang+china,204902.0,,,,,,,,
trieste+italy,204302.5,161100,45.650,13.750,"TRIESTE, ITALY",38.5,29.6,trieste,italy
tallahassee+u.s.,204260.0,722140,30.393,-84.353,"TALLAHASSEE REGIONAL, FL, USA",40.1,29.4,tallahassee,u.s.
szeged+hungary,204196.5,129820,46.250,20.100,"SZEGED, HUNGARY",39.3,27.5,szeged,hungary
heerlen-kerkrade+netherlands,204182.0,,,,,,,,
richmond hill+canada,203996.0,,,,,,,,
birjand+iran,203636.0,408090,32.898,59.266,"BIRJAND, IRAN, ISLAMIC REPUBLIC OF",42.5,22.9,birjand,iran
el tigre+venezuela,203403.0,,,,,,,,
presidente prudente+brazil,203382.0,,,,,,,,
pskov+russian federation,203279.0,262580,57.817,28.333,"PSKOV, RUSSIAN FEDERATION",35.3,26.7,pskov,russian federation
colombo+brazil,203203.0,,,,,,,,
nong bua lam phu+thailand,203142.0,,,,,,,,
deoghar+india,203123.0,,,,,,,,
la vega+dominican republic,202864.0,,,,,,,,
macae+brazil,202859.0,,,,,,,,
san lorenzo+paraguay,202745.0,,,,,,,,
araraquara+brazil,202739.0,,,,,,,,
odense+denmark,202663.0,061200,55.477,10.331,"ODENSE, DENMARK",34.0,25.2,odense,denmark
khan yunis+state of palestine,202560.0,,,,,,,,
linxia+china,202498.0,,,,,,,,
parnamirim+brazil,202456.0,,,,,,,,
santa luzia+brazil,202378.0,,,,,,,,
kabwe+zambia,202360.0,,,,,,,,
chapra+india,202352.0,,,,,,,,
luxer+egypt,202232.0,,,,,,,,
lubbock+u.s.,202225.0,722670,33.666,-101.823,"LUBBOCK INTL, TX, USA",44.0,25.1,lubbock,u.s.
abbotsford-mission+canada,201953.0,,,,,,,,
okara+pakistan,201815.0,,,,,,,,
bommanahalli+india,201652.0,,,,,,,,
oradea+romania,201547.0,150800,47.025,21.903,"ORADEA, ROMANIA",39.2,27.8,oradea,romania
phitsanulok+thailand,201466.0,483780,16.783,100.279,"PHITSANULOK, THAILAND",41.6,30.7,phitsanulok,thailand
haldwani-cum-kathgodam+india,201461.0,,,,,,,,
maroua+cameroon,201371.0,,,,,,,,
cajamarca+peru,201329.0,,,,,,,,
oruro+bolivia,201230.0,,,,,,,,
sosnowiec+poland,201228.0,,,,,,,,
kena+egypt,201191.0,,,,,,,,
oulu+finland,201168.0,028750,64.930,25.355,"OULU, FINLAND",32.4,23.7,oulu,finland
cotia+brazil,201150.0,,,,,,,,
biratnagar+nepal,201125.0,,,,,,,,
balakovo+russian federation,200981.0,,,,,,,,
perpignan+france,200971.0,,,,,,,,
al-kharj+saudi arabia,200958.0,,,,,,,,
adrar+algeria,200834.0,606200,27.838,-0.186,"ADRAR, ALGERIA",49.5,,adrar,algeria
haldia+india,200827.0,,,,,,,,
yonkers+u.s.,200807.0,,,,,,,,
talisay+philippines,200772.0,,,,,,,,
rybinsk+russian federation,200771.0,272250,58.100,38.683,"RYBINSK, RUSSIAN FEDERATION",34.3,26.3,rybinsk,russian federation
itapevi+brazil,200769.0,,,,,,,,
khandwa+india,200738.0,,,,,,,,
kassel+germany,200736.0,104380,51.300,9.450,"KASSEL, GERMANY",35.4,23.8,kassel,germany
huntington beach+u.s.,200652.0,,,,,,,,
puri+india,200564.0,,,,,,,,
brest+france,200530.0,,,,,,,,
morena+india,200482.0,,,,,,,,
kenema+sierra leone,200443.0,,,,,,,,
nasim shahr+iran,200393.0,,,,,,,,
atushi+china,200345.0,,,,,,,,
san carlos+costa rica,200151.0,,,,,,,,
montgomery+u.s.,200022.0,722260,32.300,-86.408,"MONTGOMERY REGIONAL, AL, USA",40.9,29.9,montgomery,u.s.
nishitokyo+japan,200012.0,,,,,,,,
itabuna+brazil,199749.0,,,,,,,,
sirjan+iran,199704.0,,,,,,,,
durán+ecuador,199650.0,,,,,,,,
coro+venezuela,199603.0,,,,,,,,
indaiatuba+brazil,199592.0,,,,,,,,
hebron+state of palestine,199550.0,,,,,,,,
torun+poland,199531.0,122500,53.050,18.583,"TORUN, POLAND",36.7,25.0,torun,poland
meycauayan+philippines,199154.0,,,,,,,,
ciudad del carmen+mexico,199067.0898,,,,,,,,
haarlem+netherlands,199006.0,,,,,,,,
wah cantonment+pakistan,198891.0,,,,,,,,
albacete+spain,198887.0,082800,38.949,-1.864,"ALBACETE, SPAIN",41.3,27.9,albacete,spain
khoy+iran,198845.0,407030,38.427,44.974,"KHOY INTL, IRAN, ISLAMIC REPUBLIC OF",41.0,24.6,khoy,iran
kumagaya+japan,198742.0,476260,36.150,139.383,"KUMAGAYA, JAPAN",40.2,28.4,kumagaya,japan
caen+france,198639.0,,,,,,,,
cork+ireland,198582.0,039550,51.841,-8.491,"CORK, IRELAND",26.3,20.9,cork,ireland
amroha+india,198471.0,,,,,,,,
georgetown+malaysia,198298.0,,,,,,,,
guanajuato+mexico,198035.0,765770,21.000,-101.283,"GUANAJUATO, MEXICO",35.7,28.3,guanajuato,mexico
apopa+el salvador,198006.0,,,,,,,,
ocumare del tuy+venezuela,197952.0,,,,,,,,
brescia+italy,197640.5,,,,,,,,
bhind+india,197585.0,,,,,,,,
taranto+italy,197492.5,,,,,,,,
yamaguchi+japan,197422.0,477840,34.167,131.467,"YAMAGUCHI, JAPAN",37.6,28.2,yamaguchi,japan
innsbruck+austria,197276.0,111200,47.260,11.344,"INNSBRUCK, AUSTRIA",36.0,24.1,innsbruck,austria
northampton+united kingdom,197199.0,,,,,,,,
bhalswa jahangir pur+india,197148.0,,,,,,,,
hardoi+india,197029.0,,,,,,,,
joetsu+japan,196987.0,,,,,,,,
almere+netherlands,196932.0,,,,,,,,
itami+japan,196883.0,,,,,,,,
huánuco+peru,196627.0,,,,,,,,
diwaniya+iraq,196519.0,,,,,,,,
suzuka+japan,196403.0,,,,,,,,
bene beraq+israel,196319.0,,,,,,,,
khammam+india,196283.0,,,,,,,,
madhyamgram+india,196127.0,,,,,,,,
parma+italy,196102.5,,,,,,,,
bhiwani+india,196057.0,,,,,,,,
banja luka+bosnia and herzegovina,195994.0,145420,44.783,17.217,"BANJA LUKA, BOSNIA AND HERZEGOVINA",42.0,26.4,banja luka,bosnia and herzegovina
alvorada+brazil,195673.0,,,,,,,,
numazu+japan,195633.0,,,,,,,,
navi mumbai panvel raigad+india,195373.0,,,,,,,,
san pedro de macorís+dominican republic,195307.0,,,,,,,,
baharampur+india,195223.0,,,,,,,,
mbarara+uganda,195160.0,,,,,,,,
ambala+india,195153.0,,,,,,,,
sungai petani+malaysia,195112.0,,,,,,,,
yuzhno-sakhalinsk+russian federation,195104.0,,,,,,,,
kishiwada+japan,194911.0,,,,,,,,
norwich+united kingdom,194839.0,034920,52.676,1.283,"NORWICH INTL, UNITED KINGDOM",33.2,23.2,norwich,united kingdom
erie+u.s.,194804.0,725260,42.080,-80.183,"ERIE INTL, PA, USA",35.8,27.1,erie,u.s.
alcalá de henares+spain,194700.0,,,,,,,,
kielce+poland,194632.0,,,,,,,,
san nicolás-villa constitución+argentina,194402.451,,,,,,,,
bolton+united kingdom,194189.0,,,,,,,,
odawara+japan,194086.0,,,,,,,,
ilam+iran,194030.0,,,,,,,,
prato+italy,193957.5,,,,,,,,
sucre+bolivia,193876.0,,,,,,,,
malkajgiri+india,193863.0,,,,,,,,
tottori+japan,193717.0,477460,35.483,134.233,"TOTTORI, JAPAN",38.0,28.0,tottori,japan
fuenlabrada+spain,193643.0,,,,,,,,
burgas+bulgaria,193603.0,156550,42.570,27.515,"BURGAS, BULGARIA",40.4,28.2,burgas,bulgaria
bukand+iran,193501.0,,,,,,,,
holon+israel,193448.0,,,,,,,,
fatehpur+india,193193.0,,,,,,,,
yachiyo+japan,193152.0,,,,,,,,
kofu+japan,193125.0,476380,35.667,138.550,"KOFU, JAPAN",39.5,27.4,kofu,japan
beni-suef+egypt,193048.0,,,,,,,,
puerto cabello+venezuela,193025.0,,,,,,,,
tissemsilt+algeria,193011.0,,,,,,,,
el bayadh+algeria,192958.0,,,,,,,,
higashihiroshima+japan,192907.0,,,,,,,,
heihe+china,192764.0,,,,,,,,
hortolandia+brazil,192692.0,,,,,,,,
kaesong+north korea,192578.0,470700,37.967,126.567,"KAESONG, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",36.3,31.1,kaesong,north korea
ramadi+iraq,192556.0,,,,,,,,
guacara+venezuela,192536.0,,,,,,,,
yangsan+south korea,191975.0,,,,,,,,
rae bareli+india,191316.0,,,,,,,,
ormoc+philippines,191200.0,,,,,,,,
talca+chile,191154.0,,,,,,,,
loja+ecuador,190976.0,,,,,,,,
ashiaman+ghana,190972.0,,,,,,,,
mahesana+india,190753.0,,,,,,,,
grand prairie+u.s.,190682.0,,,,,,,,
orai+india,190575.0,,,,,,,,
dera ghazi khan+pakistan,190542.0,,,,,,,,
severodvinsk+russian federation,190513.0,,,,,,,,
shahr-e-kord+iran,190441.0,,,,,,,,
mahbubnagar+india,190400.0,,,,,,,,
wusu+china,190359.0,,,,,,,,
calama+chile,190336.0,,,,,,,,
burlington+canada,190194.0,,,,,,,,
sohag+egypt,190132.0,,,,,,,,
recoleta+chile,190075.0,,,,,,,,
khora+india,190005.0,,,,,,,,
kodaira+japan,190005.0,,,,,,,,
fianarantsoa+madagascar,189879.0,,,,,,,,
mirpur khas+pakistan,189671.0,,,,,,,,
criciúma+brazil,189630.0,,,,,,,,
ussuriisk+russian federation,189502.0,,,,,,,,
rio grande+brazil,189429.0,,,,,,,,
sunrise manor+u.s.,189372.0,,,,,,,,
sambalpur+india,189366.0,,,,,,,,
la pintana+chile,189335.0,,,,,,,,
nawabshah+pakistan,189244.0,417490,26.219,68.390,"NAWABSHAH, PAKISTAN",51.5,32.2,nawabshah,pakistan
minna+nigeria,189191.0,,,,,,,,
"la paz, distrito federal+mexico",189176.0,,,,,,,,
leganés+spain,189143.0,,,,,,,,
waterbury+u.s.,189026.0,,,,,,,,
pasir gudang+malaysia,189012.0,,,,,,,,
overland park+u.s.,188966.0,,,,,,,,
yumen+china,188931.0,,,,,,,,
