city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
querétaro+mexico,1478201.0,,,,,,,,
ouagadougou+burkina faso,1475223.0,655030,12.353,-1.512,"OUAGADOUGOU INTL, BURKINA FASO",43.4,32.4,ouagadougou,burkina faso
kawasaki+japan,1475213.0,,,,,,,,
kyoto+japan,1475183.0,477590,35.017,135.733,"KYOTO, JAPAN",38.7,27.6,kyoto,japan
xiantao+china,1474078.0,,,,,,,,
novosibirsk+russian federation,1473754.0,,,,,,,,
juárez+mexico,1464930.0,,,,,,,,
la laguna+mexico,1462745.0,,,,,,,,
münchen+germany,1456039.0,,,,,,,,
palembang+indonesia,1455284.0,,,,,,,,
edmonton+canada,1447143.0,711230,53.310,-113.580,"EDMONTON INTL, AB, CANADA",34.9,24.3,edmonton,canada
xinghua+china,1441659.0,,,,,,,,
ottawa - gatineau+canada,1441118.0,,,,,,,,
fushun+china,1434447.0,,,,,,,,
kharkiv+ukraine,1430515.0,343000,49.925,36.290,"KHARKIV INTL, UKRAINE",39.4,24.0,kharkiv,ukraine
shangqiu+china,1428983.0,,,,,,,,
wuxi+china,1425766.0,,,,,,,,
hechuan+china,1420520.0,,,,,,,,
ekaterinburg+russian federation,1420285.0,,,,,,,,
wujin+china,1420204.0,,,,,,,,
faridabad+india,1414050.0,,,,,,,,
guigang+china,1413128.0,,,,,,,,
porto alegre+brazil,1409351.0,839710,-29.994,-51.171,"PORTO ALEGRE INTL, BRAZIL",40.0,29.9,porto alegre,brazil
huhehaote+china,1406955.0,,,,,,,,
virginia beach+u.s.,1394439.0,,,,,,,,
sacramento+u.s.,1393498.0,724839,38.696,-121.590,"SACRAMENTO INTL, CA, USA",43.6,28.7,sacramento,u.s.
neijiang+china,1391931.0,575040,29.583,105.050,"NEIJIANG, CHINA",39.5,28.8,neijiang,china
maputo+mozambique,1391499.0,,,,,,,,
nanan+china,1385276.0,,,,,,,,
zürich+switzerland,1384728.0,,,,,,,,
montevideo+uruguay,1383134.7340000002,,,,,,,,
belém+brazil,1381475.0,,,,,,,,
weifang+china,1380300.0,548430,36.767,119.183,"WEIFANG, CHINA",40.3,30.2,weifang,china
daqing+china,1380051.0,,,,,,,,
milano+italy,1372434.5,,,,,,,,
tongzhou+china,1371498.0,,,,,,,,
zarqa+jordan,1364878.0,,,,,,,,
chittagong+bangladesh,1363998.0,,,,,,,,
rugao+china,1362533.0,,,,,,,,
guiping+china,1359035.0,592540,23.400,110.083,"GUIPING, CHINA",39.4,29.5,guiping,china
huainan+china,1357228.0,,,,,,,,
suining+china,1355388.0,,,,,,,,
auckland+new zealand,1354900.0,931190,-37.008,174.792,"AUCKLAND INTL, NEW ZEALAND",30.2,25.3,auckland,new zealand
bozhou+china,1351939.0,,,,,,,,
zhanjiang+china,1350665.0,596580,21.217,110.400,"ZHANJIANG, CHINA",37.0,29.8,zhanjiang,china
changde+china,1346739.0,576620,29.050,111.683,"CHANGDE, CHINA",40.1,30.9,changde,china
visakhapatnam+india,1345938.0,,,,,,,,
greater adelaide+australia,1345777.0,,,,,,,,
xintai+china,1344395.0,,,,,,,,
makasar+indonesia,1338663.0,,,,,,,,
handan+china,1329734.0,,,,,,,,
san antonio+u.s.,1327554.0,722530,29.544,-98.484,"SAN ANTONIO INTL, TX, USA",42.2,27.6,san antonio,u.s.
adelaide+australia,1326958.0,946720,-34.945,138.531,"ADELAIDE INTL, AUSTRALIA",43.7,25.1,adelaide,australia
rajkot+india,1323363.0,427370,22.309,70.780,"RAJKOT, INDIA",45.0,31.0,rajkot,india
jiangjin+china,1322890.0,,,,,,,,
pingdu+china,1321975.0,,,,,,,,
