Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sun, 01 Nov 2020 17:08:57 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1977-0031-USA,1977,0031,Natural,Meteorological,Extreme temperature,Cold wave,,,SigDam,United States of America (the),USA,Northern America,Americas,East,,,,,,,,,°C,,,,,1977,,,1977,,,,,,,,,,2800000,23.706851
1979-0014-DFR,1979,0014,Natural,Meteorological,Extreme temperature,Cold wave,,,OFDA,Germany Fed Rep,DFR,Western Europe,Europe,North,,,,,,,,,°C,,,,,1979,1,,1979,1,,,,,,,,,80000,28.3875989
1981-0215-CSK,1981,0215,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Declar,Czechoslovakia,CSK,Eastern Europe,Europe,,,,,,,,,,°C,,,,,1981,11,10,1981,11,10,,,,,,,,,35.56517152
1982-0247-CAN,1982,0247,Natural,Meteorological,Extreme temperature,Cold wave,,,Affect,Canada,CAN,Northern America,Americas,"Labrador, Newfoundland",,,,,,,,-34,°C,,,,,1982,1,19,1982,1,19,,,200,,200,,,,37.74582208
1982-0300-CSK,1982,0300,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Declar,Czechoslovakia,CSK,Eastern Europe,Europe,,,,,,,,,,°C,,,,,1982,1,15,1982,1,15,,,,,,,,,37.74582208
1985-0244-ALB,1985,0244,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,Kill,Albania,ALB,Southern Europe,Europe,,,,,,,,,,°C,,,,,1985,3,6,1985,3,6,68,,5745,1340,7085,,,,42.07452677
1985-0246-BEL,1985,0246,Natural,Meteorological,Extreme temperature,Cold wave,,,Regional,Belgium,BEL,Western Europe,Europe,,,,,,,,,,°C,,,,,1985,1,,1985,1,,,,,,,,,,42.07452677
1985-0247-CSK,1985,0247,Natural,Meteorological,Extreme temperature,Cold wave,,,Regional,Czechoslovakia,CSK,Eastern Europe,Europe,,,,,,,,,,°C,,,,,1985,1,15,1985,1,15,,,,,,,,,42.07452677
1985-0269-ESP,1985,0269,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Spain,ESP,Southern Europe,Europe,,,,,,,,,,°C,,,,,1985,1,9,1985,1,9,40,,,,,,,,42.07452677
1985-0251-FRA,1985,0251,Natural,Meteorological,Extreme temperature,Cold wave,,,Regional,France,FRA,Western Europe,Europe,Countrywide,,,,,No,No,,,°C,,,,,1985,1,15,1985,1,30,,,,,,,132300,,42.07452677
